,handler_position,screener_position,handler_distance,screener_distance,handler_avg_velo,screener_avg_velo,handler_start_x,handler_start_y,screener_start_x,screener_start_y,handler_end_x,handler_end_y,screener_end_x,screener_end_y,label
120,G,F,23.124160954731643,5.696619824437232,13.138727815188435,3.236715809339337,6.88221,70.34039,11.46138,70.83449,25.3175,76.55753,9.57205,66.16802,PNP
121,G,F-C,22.21052838074327,9.018576906888201,10.678138644588106,4.335854282157788,31.22838,60.76013,27.64597,63.82984,15.95514,74.99333,27.40708,71.45585,PNR
122,F,F-C,13.872914114107022,12.313831854061272,5.25489171,4.664330247750482,41.11107,63.04242,37.30742,66.14681,35.3221,72.09619,30.76024,70.29562,PNP
123,F,F-C,12.643469947279012,11.87088333910386,5.545381555824127,5.20652778,41.29382,64.23807,37.10162,65.9613,35.3221,72.09619,30.76024,70.29562,PNP
124,G,F,23.50326268959974,3.8862821304499464,12.773512331304206,2.112109853505406,43.40297,76.26868999999999,38.70275,75.65753000000001,24.46787,79.92558,40.32299,76.84664000000001,PNP
125,G,F,22.782026877000206,10.21184958790462,11.623483100510306,5.210127340767664,3.9915400000000005,80.60204,8.391280000000002,79.05732,20.56318,78.55178,3.440649999999998,85.9464,PNP
126,G,F,13.251992219868624,4.640118374903368,6.625996109934313,2.3200591874516836,31.02805,62.08677,29.63897,66.70898,33.59023,74.51492,31.15751,63.89147,PNP
127,G,F,13.256595808957607,6.836155828110417,8.285372380598506,4.2725973925690095,12.600459999999998,63.8829,14.343589999999999,68.39183,25.35942,66.41836,17.69099,73.71937,PNR
128,G,G,22.28304467789145,7.365697203939189,8.073566912,2.668730870992459,6.66742,53.97173,11.25282,52.44723,23.23021,55.90233,8.41659,50.88097,none
129,F,F,25.023086730869313,7.741997794704413,15.257979713944707,4.720730362624642,19.33765,66.37442,19.89955,70.96366,25.45041,87.12453,23.29194,64.19882,none
130,G,F,18.245470098294007,12.094315023442753,9.705037286326597,6.433146289065295,27.71682,61.39336,30.21084,64.95683,42.26901,69.39765,28.69579,73.84708,PNR
131,F,F,21.224921366447536,3.297688675467457,10.61246068322377,1.6488443377337287,12.09775,63.160129999999995,15.19838,66.94291,30.93548,71.12065,16.01314,64.5737,none
132,G,F-C,12.10433036189398,7.435349950174033,6.877460432894306,4.224630653507973,20.20421,62.95906,22.69614,67.14406,22.05331,65.00224,24.67268,69.61588,PNR
133,F,F,5.937926440146162,16.370790582633322,3.452282814038466,9.517901501531002,12.562849999999997,79.06029,8.127960000000002,80.97007,16.646,79.0921,9.734490000000001,64.95469,none
134,G,F,14.340926831565927,5.2206967841690455,7.967181573092181,2.900387102316136,42.14357,68.82757000000001,39.32679,72.45255,43.18668,83.01594,36.51588,70.18933,none
135,G,F-C,16.01395762253339,14.859129725485147,6.0658930388384045,5.628458229350436,23.3649,62.44169,26.07543,66.19034,35.97758,68.68252,28.77189,76.58597,none
136,G,F-C,16.03596053999827,5.985404425830461,10.279461884614275,3.8367977088656793,32.39374,62.02536,30.24242,66.50401,40.06893,75.74942,28.20361,71.09436,PNR
137,G,F,16.85210907,8.517954313,8.777140138,4.436434538135365,14.59138,66.87944,19.28154,68.08679000000001,27.7329,58.78783,12.64244,64.09116,none
138,G,C,14.081777959248413,15.150661813185707,7.040888979624206,7.575330906592853,26.97819,63.19562,26.20545,67.85791,20.18254,73.95036,28.96846,78.71077,PNR
